Phenotype,Genotype,Red,Yellow,White,Value
White,rryyww,0,0,0,0
White,rryyWw,0,0,2,2
Blue,rryyWW,0,0,3,3
Yellow,rryyWw,0,2,0,8
Yellow,rryyWw,0,2,2,10
White,rryyWw,0,2,3,11
Yellow,rryyWW,0,3,0,12
Yellow,rryyWW,0,3,2,14
Yellow,rryyWW,0,3,3,15
Red,rrYyww,2,0,0,32
Pink,rrYyww,2,0,2,34
White,rrYyww,2,0,3,35
Orange,rrYyWw,2,2,0,40
Yellow,rrYyWw,2,2,2,42
Yellow,rrYyWw,2,2,3,43
Orange,rrYyWW,2,3,0,44
Yellow,rrYyWW,2,3,2,46
Yellow,rrYyWW,2,3,3,47
Red,rrYYww,3,0,0,48
Red,rrYYww,3,0,2,50
Red,rrYYww,3,0,3,51
Blue,rrYYWw,3,2,0,56
Red,rrYYWw,3,2,2,58
Red,rrYYWw,3,2,3,59
Purple,rrYYWW,3,3,0,60
Purple,rrYYWW,3,3,2,62
Purple,rrYYWW,3,3,3,63
