Phenotype,Genotype,Red,Yellow,White,Value
White,rryyww,0,0,0,0
White,rryyWw,0,0,2,2
Blue,rryyWW,0,0,3,3
Orange,rryyWw,0,2,0,8
Orange,rryyWw,0,2,2,10
Blue,rryyWw,0,2,3,11
Orange,rryyWW,0,3,0,12
Orange,rryyWW,0,3,2,14
Orange,rryyWW,0,3,3,15
Red,rrYyww,2,0,0,32
Red,rrYyww,2,0,2,34
Blue,rrYyww,2,0,3,35
Pink,rrYyWw,2,2,0,40
Pink,rrYyWw,2,2,2,42
Pink,rrYyWw,2,2,3,43
Orange,rrYyWW,2,3,0,44
Orange,rrYyWW,2,3,2,46
Orange,rrYyWW,2,3,3,47
Red,rrYYww,3,0,0,48
Red,rrYYww,3,0,2,50
Purple,rrYYww,3,0,3,51
Red,rrYYWw,3,2,0,56
Red,rrYYWw,3,2,2,58
Purple,rrYYWw,3,2,3,59
Pink,rrYYWW,3,3,0,60
Pink,rrYYWW,3,3,2,62
Purple,rrYYWW,3,3,3,63
